date,org,storage,percentage
2023-10-12T13:40:23.333133,Cost Splitting Org,1024,0.0302985472083321
2023-10-12T13:40:23.333133,DB Test Organization,32773,0.9697014527916679
2023-10-12T13:40:23.333133,total,33797,1
