dataset_id,application,team,topics,gfw_dataset,layer_ids,layer_names
de961ce7-6f25-4474-a27a-bc5abbd87336,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_carbon_gross_emissions,53b216a9-17c8-4f6b-8585-af5f68eabdef,Forest emissions
1d51d813-f944-4cfe-b6fa-b2ef3a6d7cce,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_carbon_net_flux,f401eb8c-b49f-44a1-adf2-b110bd92d53f,Forest net flux
d98dffe9-7ea3-46ca-b378-e89a4cd26bce,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_carbon_gross_removals,73297b00-6c45-4652-8688-c29b46837fa1,Forest removals
587b9951-54aa-4cd5-8929-8aacd5743e15,gfw,global-forest-watch-testing,"land,forest",,1a1199e2-896b-4051-9419-eb4f67c554a7,Tree biomass density
bc099e2e-0292-4e22-9445-9d428ecf7a56,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_potential_carbon_sequestration_rate,807f0d65-ef97-40a8-9f7e-7a39716c12f8,Potential carbon sequestration rate
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_forest_age_category,,Forest age category
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_full_extent_removal_factor_aboveground,,Aboveground removal factor
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_full_extent_removal_factor_belowground,,Belowground removal factor
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_removal_forest_type,,Removal factor source
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_full_extent_gross_emissions_co2_only_soil_only,,"Soil-only emissions, CO2 only"
,gfw,global-forest-watch-testing,"land,ghg-emissions,forest",gfw_forest_flux_full_extent_gross_emissions_non_co2_soil_only,,"Soil-only emissions, non-CO2 gases"
8a7b6f20-7564-4265-8246-8fd9158814ae,gfw,global-forest-watch-testing,"land,forest","umd_glad_landsat_alerts,gfw_integrated_alerts,umd_glad_sentinel2_alerts,wur_radd_alerts","ff797c8d-0c1b-4df5-beb3-20a9b900716a,1e7f2868-7fcd-46b2-bbc8-64ec78f95cca,cb184858-4501-4e18-bdf4-8fc4150b9f6e,5f6819a7-ad89-4c40-8715-9f859cb5e827","GLAD-L alerts,Integrated alerts,GLAD-S2 alerts,RADD alerts"
47a8e6cc-ea40-44a8-b1fc-6cf4fcc7d868,gfw,global-forest-watch-testing,"land,natural-hazards,forest",nasa_viirs_fire_alerts,2462cceb-41de-4bd2-8251-a6f75fe4e3d5,VIIRS Fire alerts
15d4af69-3316-400a-8c50-e9306e93fe85,gfw,global-forest-watch-testing,"land,natural-hazards,forest",umd_tree_cover_loss_from_fires,c9d86bf9-4eef-43d9-b377-e9481df36168,Tree Cover Loss due to Fires
03f8de86-6e2f-4047-9826-8051b6111447,gfw,global-forest-watch-testing,"land,forest",umd_tree_cover_gain_from_height,60e2fa0c-b901-4342-ba61-984525b8c426,Tree Cover Gain
30ec7d3d-1047-4e11-a765-785cead8375a,gfw,global-forest-watch-testing,"land,forest",umd_tree_cover_loss,3c4225a4-a8d8-4d73-b12d-0c47dec84c76,Tree Cover Loss
d37bb7cf-f97f-432f-b23c-519fa8abec13,gfw,global-forest-watch-testing,"land,forest",gfw_emerging_hot_spots,5f960d84-3b19-40f4-933c-dd5a04f3af9a,Emerging hotspots
a78cf392-8952-4beb-8303-e10f38ca9069,gfw,global-forest-watch-testing,"land,forest",tsc_tree_cover_loss_drivers,1ef66df5-623e-4953-a11b-5469b030c9b8,Tree Cover Loss by Dominant Driver
44b1f998-adb1-44d1-95c5-7ff3c03d3ae7,gfw,global-forest-watch-testing,"land,forest",umd_adm0_net_tree_cover_change_from_height,042c4dc1-a4d0-4173-9821-a9df7d60605f,Net change
c92b6411-f0e5-4606-bbd9-138e40e50eb8,gfw,global-forest-watch-testing,"land,forest",,"0cba3c4f-2d3b-4fb1-8c93-c951dc1da84b,2351399c-ef2c-48da-9485-20698190acb0","Tree Cover - 2000,Tree Cover - 2010"
,gfw,global-forest-watch-testing,"land,forest",wri_tropical_tree_cover,,Tropical Tree Cover (w/ threshold)
ce5bfa29-b245-444f-8e8f-d3cd58b0f2bf,gfw,global-forest-watch-testing,"land,forest",umd_regional_primary_forest_2001,acc2a80a-4604-4cbb-888c-322ee6745884,Primary forests
000024ff-048a-47e3-bf67-37c6cfc7d1b3,gfw,global-forest-watch-testing,"land,forest",umd_tree_cover_height_2020,deb63f15-ae26-4543-82b7-d6b5a2d547e0,Tree cover height
868089f4-1802-4c44-a56e-9479a2358a45,gfw,global-forest-watch-testing,"land,forest",ifl_intact_forest_landscapes,637ca861-1821-4a5d-adae-641ec9871788,Intact forest lanscapes
afcce3ed-bec9-46f8-aa7c-e679e4b9ee5e,gfw,global-forest-watch-testing,land,umd_soy_planted_area,82d39a4b-c6d1-4559-a298-490b86108c63,Soy area
1e605c89-fa3a-4531-aaca-70f975de24bb,gfw,global-forest-watch-testing,"land,forest,land-use-status",gfw_planted_forests,f2604a93-8059-4b24-9d02-c43ac224e286,Tree plantations
41c6e6eb-e3fb-4b5c-a289-48555ee58b2a,gfw,global-forest-watch-testing,land,gfw_peatlands,059752bf-eeba-416b-a781-47d0b05d90c3,Global peatlands
62c3d70c-d218-458f-8342-ee6a2b0ba434,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status,forest",gfw_managed_forests,08fd9f5d-51c4-4c01-8c37-d63e86a0de30,Logging concessions
be20becc-c59f-425a-99d6-36de58b1c1f6,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status",gfw_mining_concessions,3561c1b1-83eb-4c29-87ef-b36d231c13ba,Mining concessions
c5aac280-9dac-4e97-8f44-afc52a52c255,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status",gfw_oil_palm,aef0a3e5-729e-4f1a-9b1c-25a73c7ea4c1,Oil palm concessions
5bfeb269-705a-4e5e-877f-f03ecf3d368e,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status",gfw_universal_mill_list,a0bef0ee-c2a9-49ef-8189-ced34043a9de,Palm oil mills
34c1b7a3-5d06-4fb4-995c-efcefdad80f9,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status",rspo_oil_palm,5ce140d9-260b-4e42-8b15-bd62193a5955,RSPO oil palm concessions
7457f9df-6d97-41fd-b6bb-61fae4e1e5ee,gfw,global-forest-watch-testing,"economy-industry,land,land-use-status",gfw_oil_gas,58ccb588-5949-4ec4-a97f-0e5b3b2eab50,Oil and gas concessions
1f016faa-5940-4dd3-a848-a00086e20e38,gfw,global-forest-watch-testing,"economy-industry,land,forest",gfw_wood_fiber,82229960-13c2-4810-84e7-bdd4812d4578,Wood fiber concessions
060726b0-3d1e-4548-81f9-f47947d64e1b,gfw,global-forest-watch-testing,"freshwater,surface-water-bodies",intl_rivers_dam_hotspots,3de42512-66d8-4db2-8c41-6a5f14251ba2,Major dams
58b05fa5-96c8-403d-8128-a6079b15711e,gfw,global-forest-watch-testing,"land,forest",,35b17f0d-3537-41dc-9bf3-27174fddf9e2,Congo Basin logging roads
7261a40b-4fb5-46a7-9fb4-fd95458dcbee,gfw,global-forest-watch-testing,"governance-law,indigenous-lands",landmark_indigenous_and_community_lands,caa9b9b7-5dec-4ad6-adbf-d7c2965c9371,Indigenous and community lands
,gfw,global-forest-watch-testing,"governance-law,indigenous-lands",landmark_indicative_lands,,Indicative areas of Indigenous and community lands
ffebf84f-cb27-4c16-bd4c-739fb17a9743,gfw,global-forest-watch-testing,"governance-law,land,land-use-status",landmark_natural_resource_rights,5f357ec8-3541-4c35-b386-6230bd384147,Resource rights
